# Метеостанция Роттердам / Зестинховен (аэропорт), Нидерланды, WMO_ID=6344, выборка с 19.02.2019 по 19.03.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=6344&lang=ru
#
"Местное время в Роттердаме / Зестинховене (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"04.03.2019 10:00";"6.1";"742.0";"741.7";"2.8";"90";"Ветер, дующий с западо-юго-запада";"8";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"300-600";"";"";"35.0";"4.5";"0.4";"1";"";"";"";"";
"04.03.2019 09:00";"5.4";"741.1";"740.8";"1.2";"89";"Ветер, дующий с запада";"6";"";"";"100%.";"Морось незамерзающая сильная. ";"Ливни или перемещающиеся осадки.";"";"5.4";"";"";"100%.";"300-600";"";"";"11.0";"3.7";"0.2";"1";"";"";"";"";
"04.03.2019 08:00";"7.9";"739.3";"739.0";"-0.6";"81";"Ветер, дующий с юго-запада";"12";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"300-600";"";"";"21.0";"4.8";"Осадков нет";"1";"";"";"";"";
"04.03.2019 07:00";"7.7";"739.2";"738.8";"-1.6";"78";"Ветер, дующий с юго-запада";"12";"";"";"Облаков нет.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"7.5";"";"";"";"";"";"";"45.0";"4.1";"2.0";"12";"";"";"";"";
"04.03.2019 06:00";"7.9";"739.9";"739.3";"-2.1";"88";"Ветер, дующий с юго-запада";"10";"";"";"100%.";"Ливневый дождь или дождь с перерывами умеренный. ";"";"";"";"";"";"100%.";"600-1000";"";"";"6.0";"6.0";"2.0";"1";"";"";"";"";
"04.03.2019 05:00";"11.5";"739.9";"739.4";"-3.4";"70";"Ветер, дующий с юго-юго-запада";"11";"";"";"100%.";"Дождь (незамерзающий). ";"";"";"";"";"";"100%.";"1000-1500";"";"";"45.0";"6.2";"Осадков нет";"1";"";"";"";"";
"04.03.2019 04:00";"11.8";"740.8";"740.4";"-3.5";"73";"Ветер, дующий с юго-юго-запада";"11";"16";"18";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"45.0";"7.1";"Осадков нет";"1";"";"";"";"";
"04.03.2019 03:00";"11.9";"742.0";"741.7";"-3.1";"77";"Ветер, дующий с юго-юго-запада";"10";"14";"17";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"45.0";"8.0";"Осадков нет";"1";"";"";"";"";
"04.03.2019 02:00";"12.0";"743.3";"742.8";"-2.4";"76";"Ветер, дующий с юго-юго-запада";"11";"17";"18";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"60%.";"600-1000";"";"";"45.0";"7.9";"Осадков нет";"1";"";"";"";"";
"04.03.2019 01:00";"12.3";"744.3";"743.8";"-2.3";"76";"Ветер, дующий с юго-юго-запада";"11";"18";"18";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"45.0";"8.2";"0.1";"6";"";"";"";"";
"04.03.2019 00:00";"12.4";"745.1";"744.8";"-2.3";"78";"Ветер, дующий с юго-юго-запада";"9";"13";"16";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"600-1000";"";"";"45.0";"8.6";"Осадков нет";"1";"";"";"";"";
"03.03.2019 23:00";"12.1";"745.7";"745.3";"-2.3";"80";"Ветер, дующий с юго-юго-запада";"9";"12";"16";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"";"";"";"";"";"100%.";"600-1000";"";"";"35.0";"8.7";"Осадков нет";"1";"";"";"";"";
"03.03.2019 22:00";"12.0";"746.6";"746.2";"-2.5";"79";"Ветер, дующий с юго-юго-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"90  или более, но не 100%";"600-1000";"";"";"45.0";"8.4";"Осадков нет";"1";"";"";"";"";
"03.03.2019 21:00";"11.9";"747.4";"747.0";"-2.4";"80";"Ветер, дующий с юго-юго-запада";"11";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"600-1000";"";"";"35.0";"8.6";"Осадков нет";"1";"";"";"";"";
"03.03.2019 20:00";"12.0";"748.0";"747.6";"-2.6";"81";"Ветер, дующий с юго-юго-запада";"8";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"8.8";"0.1";"1";"";"";"";"";
"03.03.2019 19:00";"11.6";"749.1";"748.6";"-1.9";"82";"Ветер, дующий с юга";"8";"13";"17";"100%.";"Морось незамерзающая сильная. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"12.3";"";"";"1000-1500";"";"";"13.0";"8.6";"5.0";"12";"";"";"";"";
"03.03.2019 18:00";"12.0";"749.8";"749.4";"-1.9";"80";"Ветер, дующий с юго-юго-запада";"7";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"1000-1500";"";"";"25.0";"8.6";"Осадков нет";"1";"";"";"";"";
"03.03.2019 17:00";"12.3";"750.6";"750.2";"-1.9";"80";"Ветер, дующий с юго-юго-запада";"9";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"23.0";"9.0";"Осадков нет";"1";"";"";"";"";
"03.03.2019 16:00";"12.0";"751.0";"750.7";"-2.1";"84";"Ветер, дующий с юго-юго-запада";"10";"";"";"100%.";"Морось (незамерзающая) или снежные зерна. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"300-600";"";"";"16.0";"9.4";"Осадков нет";"1";"";"";"";"";
"03.03.2019 15:00";"12.0";"751.7";"751.3";"-1.5";"88";"Ветер, дующий с юго-юго-запада";"9";"";"";"100%.";"Морось незамерзающая слабая. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"300-600";"";"";"18.0";"10.0";"Осадков нет";"1";"";"";"";"";
"03.03.2019 14:00";"11.4";"752.5";"752.0";"-1.2";"94";"Ветер, дующий с юго-юго-запада";"10";"";"";"100%.";"Дождь (незамерзающий). ";"Дождь.";"Морось.";"";"";"";"100%.";"200-300";"";"";"6.0";"10.4";"0.6";"1";"";"";"";"";
"03.03.2019 13:00";"11.5";"753.1";"752.6";"-0.6";"94";"Ветер, дующий с юго-юго-запада";"10";"";"";"100%.";"Дождь незамерзающий слабый. ";"Дождь.";"Морось.";"";"";"";"100%.";"200-300";"";"";"10.0";"10.5";"5.0";"6";"";"";"";"";
"03.03.2019 12:00";"11.5";"753.2";"752.8";"-0.7";"93";"Ветер, дующий с юго-юго-запада";"10";"";"";"100%.";"Морось незамерзающая умеренная. ";"Дождь.";"Дождь.";"";"";"";"100%.";"200-300";"";"";"9.0";"10.4";"0.3";"1";"";"";"";"";
"03.03.2019 11:00";"11.0";"753.7";"753.1";"-0.3";"95";"Ветер, дующий с юго-юго-запада";"8";"";"";"100%.";"Дождь незамерзающий слабый. ";"Дождь.";"Морось.";"";"";"";"100%.";"200-300";"";"";"12.0";"10.2";"0.6";"1";"";"";"";"";
"03.03.2019 10:00";"10.7";"753.7";"753.4";"-0.6";"95";"Ветер, дующий с юго-запада";"9";"";"";"100%.";"Дождь незамерзающий слабый. ";"Дождь.";"Морось.";"";"";"";"100%.";"200-300";"";"";"4.2";"10.0";"1.0";"1";"";"";"";"";
"03.03.2019 09:00";"10.4";"753.9";"753.5";"-0.5";"95";"Ветер, дующий с юго-запада";"9";"";"";"100%.";"Дождь незамерзающий слабый. ";"Дождь.";"Дождь.";"9.3";"";"";"100%.";"200-300";"";"";"8.0";"9.6";"1.0";"1";"";"";"";"";
"03.03.2019 08:00";"10.0";"754.0";"753.5";"-0.5";"96";"Ветер, дующий с юго-юго-запада";"7";"";"";"100%.";"Морось и дождь умеренные или сильные. ";"Дождь.";"Дождь.";"";"";"";"100%.";"100-200";"";"";"7.0";"9.4";"1.0";"1";"";"";"";"";
"03.03.2019 07:00";"9.9";"754.3";"753.8";"-0.5";"95";"Ветер, дующий с юго-запада";"9";"13";"17";"100%.";"Дождь незамерзающий слабый. ";"Ливни или перемещающиеся осадки.";"Пониженная видимость.";"9.3";"";"";"";"100-200";"";"";"7.0";"9.2";"2.0";"12";"";"";"";"";
"03.03.2019 06:00";"9.9";"754.4";"754.1";"-1.1";"94";"Ветер, дующий с юго-запада";"9";"";"";"100%.";"Дождь незамерзающий слабый. ";"Ливни или перемещающиеся осадки.";"Пониженная видимость.";"";"";"";"100%.";"200-300";"";"";"6.0";"9.0";"0.9";"1";"";"";"";"";
"03.03.2019 05:00";"9.5";"754.5";"754.2";"-1.3";"94";"Ветер, дующий с юго-юго-запада";"10";"";"";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"200-300";"";"";"6.0";"8.5";"0.7";"1";"";"";"";"";
"03.03.2019 04:00";"10.0";"754.8";"754.4";"-1.6";"86";"Ветер, дующий с юго-юго-запада";"11";"15";"17";"100%.";"Дымка. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"200-300";"";"";"7.0";"7.7";"Осадков нет";"1";"";"";"";"";
"03.03.2019 03:00";"10.4";"755.5";"755.1";"-1.4";"81";"Ветер, дующий с юго-юго-запада";"10";"14";"14";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"600-1000";"";"";"27.0";"7.3";"Осадков нет";"1";"";"";"";"";
"03.03.2019 02:00";"10.3";"755.8";"755.4";"-1.3";"80";"Ветер, дующий с юго-юго-запада";"9";"14";"15";"100%.";"Дождь (незамерзающий). ";"";"";"";"";"";"100%.";"300-600";"";"";"26.0";"7.0";"Осадков нет";"1";"";"";"";"";
"03.03.2019 01:00";"10.3";"756.4";"756.0";"-1.3";"78";"Ветер, дующий с юго-юго-запада";"9";"15";"17";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"27.0";"6.6";"Осадков нет";"6";"";"";"";"";
"03.03.2019 00:00";"9.7";"756.9";"756.4";"-1.1";"80";"Ветер, дующий с юго-юго-запада";"7";"11";"12";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"20.0";"6.4";"Осадков нет";"1";"";"";"";"";
"02.03.2019 23:00";"9.8";"757.1";"756.6";"-1.2";"82";"Ветер, дующий с юго-юго-запада";"7";"12";"13";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"17.0";"6.8";"Осадков нет";"1";"";"";"";"";
"02.03.2019 22:00";"9.7";"757.7";"757.3";"-0.5";"82";"Ветер, дующий с юго-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"16.0";"6.8";"Осадков нет";"1";"";"";"";"";
"02.03.2019 21:00";"9.6";"758.0";"757.6";"0.0";"83";"Ветер, дующий с юго-запада";"10";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"300-600";"";"";"17.0";"6.8";"Осадков нет";"1";"";"";"";"";
"02.03.2019 20:00";"9.5";"758.3";"757.9";"0.2";"86";"Ветер, дующий с юго-запада";"9";"";"";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"90  или более, но не 100%";"300-600";"";"";"16.0";"7.3";"Осадков нет";"1";"";"";"";"";
"02.03.2019 19:00";"9.9";"758.2";"757.7";"-0.2";"88";"Ветер, дующий с западо-юго-запада";"8";"13";"13";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"11.6";"";"";"300-600";"";"";"25.0";"7.9";"0.3";"12";"";"";"";"";
"02.03.2019 18:00";"9.9";"758.0";"757.6";"-0.5";"93";"Ветер, дующий с юго-запада";"5";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"300-600";"";"";"16.0";"8.8";"Осадков нет";"1";"";"";"";"";
"02.03.2019 17:00";"9.5";"758.1";"757.6";"-1.0";"97";"Ветер, дующий с юго-юго-запада";"5";"";"";"100%.";"Морось (незамерзающая) или снежные зерна. ";"Ливни или перемещающиеся осадки.";"Пониженная видимость.";"";"";"";"100%.";"100-200";"";"";"6.0";"9.0";"0.2";"1";"";"";"";"";
"02.03.2019 16:00";"9.4";"758.4";"757.9";"-1.0";"94";"Ветер, дующий с юга";"5";"";"";"100%.";"Морось незамерзающая умеренная. ";"Ливни или перемещающиеся осадки.";"Пониженная видимость.";"";"";"";"100%.";"200-300";"";"";"5.0";"8.5";"Осадков нет";"1";"";"";"";"";
"02.03.2019 15:00";"9.8";"758.5";"758.1";"-1.3";"87";"Ветер, дующий с юга";"7";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"200-300";"";"";"15.0";"7.8";"Осадков нет";"1";"";"";"";"";
"02.03.2019 14:00";"10.3";"759.1";"758.5";"-1.2";"80";"Ветер, дующий с юго-юго-запада";"7";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"14.0";"6.9";"Осадков нет";"1";"";"";"";"";
"02.03.2019 13:00";"11.2";"759.4";"758.9";"-1.4";"75";"Ветер, дующий с юго-юго-запада";"7";"12";"12";"100%.";"Облака в целом образовывались или развивались. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"300-600";"";"";"13.0";"6.9";"Осадков нет";"6";"";"";"";"";
"02.03.2019 12:00";"10.0";"759.8";"759.3";"-1.1";"77";"Ветер, дующий с юго-юго-запада";"6";"";"";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"90  или более, но не 100%";"300-600";"";"";"12.0";"6.2";"Осадков нет";"1";"";"";"";"";
"02.03.2019 11:00";"9.2";"760.3";"759.8";"-0.6";"80";"Ветер, дующий с юга";"5";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"11.0";"5.9";"Осадков нет";"1";"";"";"";"";
"02.03.2019 10:00";"8.4";"760.8";"760.3";"-0.4";"83";"Ветер, дующий с юга";"3";"";"";"100%.";"Дымка. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"9.0";"5.7";"Осадков нет";"1";"";"";"";"";
"02.03.2019 09:00";"7.6";"760.9";"760.5";"-0.8";"86";"Ветер, дующий с юга";"4";"";"";"100%.";"Дымка. ";"";"";"2.0";"";"";"100%.";"1000-1500";"";"";"8.0";"5.4";"Осадков нет";"1";"";"";"";"";
"02.03.2019 08:00";"6.7";"760.9";"760.5";"-1.2";"93";"Ветер, дующий с юга";"3";"";"";"100%.";"Дымка. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"6.0";"5.6";"Осадков нет";"1";"";"";"";"";
"02.03.2019 07:00";"6.5";"761.2";"760.6";"-1.5";"93";"Ветер, дующий с юга";"4";"4";"5";"100%.";"Дымка. ";"Морось.";"Пониженная видимость.";"2.0";"";"";"";"1000-1500";"";"";"5.0";"5.5";"Осадков нет";"12";"";"";"";"";
"02.03.2019 06:00";"6.4";"761.7";"761.2";"-1.5";"93";"Ветер, дующий с юга";"3";"";"";"100%.";"Морось (незамерзающая) или снежные зерна. ";"Пониженная видимость.";"";"";"";"";"100%.";"300-600";"";"";"5.0";"5.4";"Осадков нет";"1";"";"";"";"";
"02.03.2019 05:00";"6.4";"762.1";"761.6";"-1.5";"92";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"100%.";"600-1000";"";"";"6.0";"5.2";"Осадков нет";"1";"";"";"";"";
"02.03.2019 04:00";"6.2";"762.7";"762.1";"-1.5";"93";"Ветер, дующий с юга";"2";"3";"4";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"100%.";"1000-1500";"";"";"6.0";"5.2";"Осадков нет";"1";"";"";"";"";
"02.03.2019 03:00";"5.9";"763.2";"762.7";"-1.3";"93";"Ветер, дующий с юга";"2";"4";"4";"100%.";"Дымка. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"9.0";"4.8";"Осадков нет";"1";"";"";"";"";
"02.03.2019 02:00";"5.4";"763.6";"763.2";"-1.0";"94";"Ветер, дующий с юго-юго-востока";"2";"3";"3";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"21.0";"4.5";"Осадков нет";"1";"";"";"";"";
"02.03.2019 01:00";"5.0";"764.2";"763.7";"-0.3";"95";"Ветер, дующий с юго-юго-запада";"2";"2";"4";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"1000-1500";"";"";"30.0";"4.2";"Осадков нет";"6";"";"";"";"";
"02.03.2019 00:00";"2.9";"764.5";"764.0";"-0.2";"97";"Ветер, дующий с юго-запада";"2";"2";"3";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"35.0";"2.4";"Осадков нет";"1";"";"";"";"";
"01.03.2019 23:00";"2.8";"764.6";"764.2";"0.0";"97";"Ветер, дующий с юго-запада";"2";"3";"4";"90  или более, но не 100%";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"50%.";"1000-1500";"";"";"30.0";"2.3";"Осадков нет";"1";"";"";"";"";
"01.03.2019 22:00";"3.8";"764.5";"764.2";"-0.2";"90";"Ветер, дующий с западо-юго-запада";"2";"";"";"50%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"40%.";"600-1000";"";"";"45.0";"2.3";"Осадков нет";"1";"";"";"";"";
"01.03.2019 21:00";"5.8";"764.7";"764.2";"0.2";"88";"Ветер, дующий с запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"45.0";"3.9";"Осадков нет";"1";"";"";"";"";
"01.03.2019 20:00";"5.9";"764.6";"764.2";"0.1";"83";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"45.0";"3.2";"Осадков нет";"1";"";"";"";"";
"01.03.2019 19:00";"5.7";"764.7";"764.2";"0.4";"90";"Ветер, дующий с западо-северо-запада";"2";"3";"8";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"8.5";"";"";"300-600";"";"";"45.0";"4.1";"0.2";"12";"";"";"";"";
"01.03.2019 18:00";"6.1";"764.5";"764.1";"0.2";"88";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"45.0";"4.3";"Осадков нет";"1";"";"";"";"";
"01.03.2019 17:00";"6.9";"764.5";"764.0";"0.4";"83";"Ветер, дующий с запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"45.0";"4.2";"Осадков нет";"1";"";"";"";"";
"01.03.2019 16:00";"7.3";"764.3";"763.9";"0.4";"78";"Ветер, дующий с северо-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"45.0";"3.7";"Осадков нет";"1";"";"";"";"";
"01.03.2019 15:00";"6.4";"764.3";"763.9";"0.8";"81";"Ветер, дующий с северо-северо-запада";"4";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"300-600";"";"";"45.0";"3.3";"Осадков нет";"1";"";"";"";"";
"01.03.2019 14:00";"7.3";"764.1";"763.6";"0.7";"80";"Ветер, дующий с северо-северо-запада";"4";"";"";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"90  или более, но не 100%";"300-600";"";"";"40.0";"4.0";"Осадков нет";"1";"";"";"";"";
"01.03.2019 13:00";"7.7";"763.9";"763.3";"1.2";"78";"Ветер, дующий с северо-северо-запада";"5";"8";"10";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Туман";"";"";"";"";"300-600";"";"";"45.0";"4.1";"0.2";"6";"";"";"";"";
"01.03.2019 12:00";"7.7";"763.5";"763.0";"1.8";"83";"Ветер, дующий с севера";"5";"";"";"100%.";"Морось (незамерзающая) или снежные зерна. ";"Туман";"";"";"";"";"100%.";"300-600";"";"";"40.0";"4.9";"Осадков нет";"1";"";"";"";"";
"01.03.2019 11:00";"6.6";"763.4";"763.0";"2.9";"88";"Ветер, дующий с севера";"5";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Туман";"";"";"";"100%.";"300-600";"";"";"21.0";"4.7";"Осадков нет";"1";"";"";"";"";
"01.03.2019 10:00";"6.4";"762.7";"762.3";"2.9";"92";"Ветер, дующий с севера";"5";"";"";"100%.";"Морось (незамерзающая) или снежные зерна. ";"Туман";"";"";"";"";"100%.";"300-600";"";"";"16.0";"5.1";"Осадков нет";"1";"";"";"";"";
"01.03.2019 09:00";"6.5";"761.7";"761.3";"2.3";"99";"Ветер, дующий с севера";"5";"";"";"100%.";"Морось незамерзающая умеренная. ";"Туман";"";"6.4";"";"";"100%.";"100-200";"";"";"2.1";"6.3";"0.2";"1";"";"";"";"";
"01.03.2019 08:00";"6.9";"760.5";"760.2";"1.3";"99";"Ветер, дующий с севера";"6";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман ослабел за последний час. ";"Туман";"Туман";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.9";"6.7";"Осадков нет";"1";"";"";"";"";
"01.03.2019 07:00";"7.2";"759.8";"759.3";"0.4";"98";"Ветер, дующий с северо-северо-запада";"3";"5";"8";"100%.";"Туман или ледяной туман начался или усилился в течение последнего часа. ";"Морось.";"Пониженная видимость.";"6.5";"";"";"";"Менее 50";"";"";"0.8";"6.9";"13.0";"12";"";"";"";"";
"01.03.2019 06:00";"6.9";"759.4";"759.0";"0.2";"99";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Дымка. ";"Морось.";"Туман";"";"";"";"100%.";"50-100";"";"";"1.0";"6.8";"Осадков нет";"1";"";"";"";"";
"01.03.2019 05:00";"6.6";"759.2";"758.8";"-0.2";"99";"Ветер, дующий с запада";"4";"";"";"100%.";"Дымка. ";"Туман";"Пониженная видимость.";"";"";"";"100%.";"100-200";"";"";"1.5";"6.4";"Осадков нет";"1";"";"";"";"";
"01.03.2019 04:00";"6.5";"759.4";"758.9";"0.0";"99";"Ветер, дующий с западо-северо-запада";"5";"7";"8";"100%.";"Туман ";"Морось.";"Пониженная видимость.";"";"";"";"100%.";"100-200";"";"";"1.5";"6.3";"Осадков нет";"1";"";"";"";"";
"01.03.2019 03:00";"6.8";"759.2";"758.8";"-0.3";"98";"Ветер, дующий с западо-северо-запада";"4";"7";"7";"100%.";"Дымка. ";"Дождь.";"Морось.";"";"";"";"100%.";"100-200";"";"";"2.4";"6.5";"Осадков нет";"1";"";"";"";"";
"01.03.2019 02:00";"7.2";"759.4";"758.9";"-0.3";"97";"Ветер, дующий с западо-северо-запада";"4";"7";"7";"100%.";"Дождь (незамерзающий). ";"Морось.";"";"";"";"";"100%.";"100-200";"";"";"1.9";"6.8";"Осадков нет";"1";"";"";"";"";
"01.03.2019 01:00";"8.1";"759.4";"758.9";"-0.4";"100";"Ветер, дующий с запада";"3";"6";"11";"100%.";"Дождь незамерзающий сильный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"";"Менее 50";"";"";"1.9";"8.1";"13.0";"6";"";"";"";"";
"01.03.2019 00:00";"8.5";"759.5";"759.1";"-0.5";"98";"Ветер, дующий с запада";"4";"6";"8";"100%.";"Дождь незамерзающий сильный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"200-300";"";"";"4.0";"8.2";"7.0";"1";"";"";"";"";
"28.02.2019 23:00";"8.9";"759.7";"759.2";"-0.4";"95";"Ветер, дующий с западо-юго-запада";"6";"9";"9";"100%.";"Морось и дождь умеренные или сильные. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"200-300";"";"";"7.0";"8.1";"0.8";"1";"";"";"";"";
"28.02.2019 22:00";"9.1";"759.8";"759.4";"-0.8";"94";"Ветер, дующий с юго-запада";"5";"";"";"100%.";"Морось незамерзающая умеренная. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"200-300";"";"";"8.0";"8.2";"0.1";"1";"";"";"";"";
"28.02.2019 21:00";"9.5";"760.0";"759.5";"-0.9";"92";"Ветер, дующий с юго-запада";"6";"";"";"100%.";"Дождь (незамерзающий). ";"";"";"";"";"";"100%.";"200-300";"";"";"11.0";"8.3";"0.1";"1";"";"";"";"";
"28.02.2019 20:00";"9.7";"760.1";"759.7";"-1.2";"90";"Ветер, дующий с юго-запада";"7";"";"";"100%.";"Дождь (незамерзающий). ";"";"";"";"";"";"100%.";"300-600";"";"";"13.0";"8.2";"Осадков нет";"1";"";"";"";"";
"28.02.2019 19:00";"9.7";"760.6";"760.1";"-1.0";"90";"Ветер, дующий с юго-запада";"7";"";"15";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Ливни или перемещающиеся осадки.";"Пониженная видимость.";"";"12.2";"";"";"300-600";"";"";"9.0";"8.2";"0.2";"12";"";"";"";"";
"28.02.2019 18:00";"10.0";"760.9";"760.5";"-0.9";"89";"Ветер, дующий с западо-юго-запада";"8";"";"";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Пониженная видимость.";"";"";"";"";"100%.";"300-600";"";"";"7.0";"8.2";"Осадков нет";"1";"";"";"";"";
"28.02.2019 17:00";"10.5";"761.3";"760.8";"-0.7";"85";"Ветер, дующий с западо-юго-запада";"8";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"15.0";"8.0";"Осадков нет";"1";"";"";"";"";
"28.02.2019 16:00";"11.3";"761.6";"761.2";"-0.8";"83";"Ветер, дующий с западо-юго-запада";"8";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"17.0";"8.5";"Осадков нет";"1";"";"";"";"";
"28.02.2019 15:00";"11.2";"761.8";"761.3";"-0.6";"82";"Ветер, дующий с западо-юго-запада";"9";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"15.0";"8.2";"Осадков нет";"1";"";"";"";"";
